latitude,longitude,mag,magType
38.5365,97.2898,5.7,2
23.7346,122.4948,5.3,2
21.6884,120.9705,4.9,2
26.8516,126.4253,4.1,1
26.8687,126.6004,4.1,1
29.2145,130.4296,4.6,1
26.8407,126.4538,4.3,1
26.1381,128.634,4.5,1
27.3931,128.0289,4.2,1
35.5447,74.6636,4.3,1
24.0031,94.8664,4.5,1
41.8803,82.545,4.1,1
30.1489,130.2375,4.4,1
22.9032,121.6864,5.5,2
24.1268,126.7316,4.3,1
20.9864,120.6931,4.7,1
42.0669,81.1987,4.4,1
24.8771,122.5829,4.4,1
24.1186,123.4987,4.4,1
23.4258,121.4842,4.2,1
28.5838,102.768,4.3,1
23.8998,122.5763,4.1,1
28.1227,105.17,4.4,1
19.9826,122.2697,4.5,1
26.9289,128.4258,4.4,1
30.9647,113.4317,5.0,1
25.3847,127.4268,4.3,1
44.1849,84.9588,4.4,1
22.824,121.5868,4.5,1
31.0963,131.4255,4.5,1
28.5625,87.5592,4.0,1
24.3823,94.3399,4.2,1
29.4195,90.341,4.0,1
24.2389,94.513,4.3,1
28.926,83.6137,4.0,1
30.7213,131.9865,4.4,1
33.4826,81.7097,4.5,1
24.8491,122.6514,4.3,1
20.0808,121.4611,4.5,1
33.2056,87.0518,4.2,1
27.5438,104.0108,4.7,1
22.9602,94.4802,4.4,1
30.0271,131.0762,4.4,1
26.776,125.3265,4.1,1
30.026,81.5319,4.4,1
34.1808,83.9736,4.0,1
40.3285,77.3144,4.6,1
32.802,132.1368,5.0,2
23.4209,121.5391,4.5,1
25.4299,123.7244,4.3,1
37.8247,101.302,4.2,1
26.3321,125.9736,4.1,1
38.5212,135.1417,4.6,1
32.622,132.3206,4.4,1
19.1527,121.1689,4.5,1
30.2176,87.6309,4.5,1
37.1424,89.449,4.3,1
19.1297,121.173,5.5,2
21.6748,121.3021,4.5,1
28.5622,129.9815,5.0,1
27.7047,92.7236,4.7,1
46.1754,106.7555,4.8,1
23.9844,122.5164,4.5,1
42.2336,85.6398,4.4,1
22.9381,122.9562,4.0,3
36.186,77.8163,4.5,1
26.7971,124.9867,4.2,1
43.4249,82.2728,4.9,1
26.8735,127.2897,4.3,1
20.5118,120.8159,4.4,1
26.127,128.42,4.5,1
32.3518,80.5666,4.4,1
42.3007,84.6767,4.4,1
32.9646,76.3114,4.2,1
25.9991,128.568,4.1,1
23.0067,95.3111,4.4,1
26.726,126.407,4.1,1
42.058,81.2533,4.4,1
23.0496,121.2283,4.4,1
34.8328,112.0307,4.3,1
18.751,95.3043,4.7,1
30.7774,131.4521,4.2,1
40.0326,84.5004,4.5,1
23.1568,94.6845,4.6,1
29.0289,105.0195,4.8,1
37.7231,92.2724,5.3,2
30.0126,131.1529,4.5,1
23.3766,121.4355,4.6,1
26.7024,129.5769,4.8,1
20.4478,92.3214,4.2,1
34.9676,80.996,4.6,1
26.608,96.5397,4.6,1
26.6622,126.3583,4.2,1
26.7955,99.4683,4.5,1
26.8176,88.7828,3.9,1
37.5234,102.1187,4.0,1
39.6173,74.5595,4.6,1
23.9426,125.3592,4.8,1
44.3403,81.1758,4.0,3
38.5795,97.3056,5.0,1
32.7971,134.3519,4.3,1
28.4321,83.3273,4.4,1
45.0369,106.7632,4.4,1
29.4699,104.6093,4.9,1
38.6058,97.3511,4.6,1
25.0131,125.7694,4.5,1
27.8474,100.5105,4.1,1
23.0949,121.2466,4.8,2
18.6163,119.4311,4.6,1
29.3042,129.3737,4.3,1
41.5556,123.7651,4.0,1
44.2018,82.5945,5.1,1
22.8779,96.0167,4.5,1
28.931,130.5334,4.9,1
36.7848,76.829,4.5,1
18.9435,95.5839,4.2,1
29.6464,81.6777,4.7,1
20.8965,121.5891,4.5,1
31.1122,130.3702,4.5,1
24.8772,122.549,4.8,1
33.0311,76.0989,4.5,1
24.8759,122.6282,4.6,1
26.3418,128.0164,4.0,1
19.2269,94.9378,5.3,2
26.2313,129.5509,4.6,1
50.7432,86.9739,4.2,1
29.9682,80.4219,4.9,1
28.3897,105.0455,4.6,1
28.0844,105.1558,4.7,1
26.7178,129.5933,4.6,1
26.5958,130.0485,4.8,1
27.0985,126.5365,4.3,1
33.5619,89.3679,4.5,1
18.6258,120.346,4.9,1
39.0249,110.6395,4.2,1
23.9811,122.4714,4.9,1
27.6752,96.9853,4.5,1
42.3108,80.4682,4.4,1
18.6319,120.9637,4.4,1
26.7781,126.4914,4.2,1
24.7869,122.5253,4.2,1
43.7877,86.6526,4.9,1
30.4709,103.1619,4.7,1
23.5966,121.6594,4.6,3
24.3401,125.2089,4.4,1
35.1073,74.0402,4.5,1
23.9714,122.4638,4.2,1
45.292,124.6564,4.4,1
24.3743,121.4522,5.0,2
26.3431,126.06,4.5,1
24.8478,122.4873,4.4,1
28.4439,104.7976,4.5,1
34.65,98.3261,4.0,1
26.8369,126.5417,4.5,1
31.6784,93.347,4.4,1
26.7999,126.4539,4.4,1
26.6099,96.5205,4.6,1
32.2874,101.9176,4.9,1
29.3666,129.4524,4.9,2
23.6823,123.3316,4.3,1
32.9731,76.4202,4.3,1
31.3464,130.2914,4.5,1
24.7659,122.6233,5.0,2
24.8617,122.0513,4.3,1
21.6789,121.0619,4.2,1
29.2917,81.1593,5.7,2
34.4822,81.8958,4.1,1
23.9367,122.3511,4.3,3
31.723,87.9296,5.5,2
26.2405,129.5222,4.9,2
21.8225,121.1688,4.5,1
27.1864,105.4197,4.9,1
34.1017,83.9207,4.6,1
23.4446,121.3763,4.3,1
26.6887,129.6347,4.6,1
